Step,Waiting_Time,Queue_Length,Density
548,1022.0,69,0.8030996829869674
549,1046.0,72,0.8242338851708351
550,1071.0,75,0.8242338851708351
551,1097.0,78,0.8242338851708351
552,914.0,75,0.7819654808030997
553,790.0,72,0.7819654808030997
554,710.0,75,0.7819654808030997
555,691.0,75,0.7608312786192323
556,689.0,75,0.7819654808030998
557,701.0,72,0.8030996829869672
558,716.0,75,0.7608312786192323
559,737.0,75,0.7608312786192323
560,760.0,75,0.7396970764353646
561,785.0,75,0.7396970764353646
562,811.0,78,0.7185628742514971
563,837.0,78,0.7396970764353646
564,863.0,78,0.7396970764353645
565,890.0,81,0.7396970764353645
566,917.0,81,0.7396970764353645
567,944.0,81,0.7185628742514971
568,972.0,84,0.7185628742514971
569,1000.0,84,0.7185628742514972
570,1029.0,87,0.7185628742514972
571,1058.0,87,0.6974286720676295
572,1087.0,87,0.7396970764353646
573,1116.0,87,0.7819654808030999
574,1145.0,87,0.7819654808030999
575,1174.0,87,0.7608312786192322
576,1203.0,87,0.7819654808030999
577,1232.0,87,0.7819654808030999
578,1261.0,87,0.8030996829869673
579,1292.0,93,0.8030996829869673
580,1324.0,96,0.8242338851708348
581,1357.0,99,0.8242338851708348
582,1390.0,99,0.8242338851708348
583,1424.0,102,0.8242338851708348
584,1459.0,105,0.8876364917224375
585,1284.0,99,0.8876364917224375
586,1142.0,96,0.9087706939063052
587,1003.0,90,0.9087706939063052
588,868.0,87,0.8876364917224375
589,763.0,84,0.8876364917224375
590,672.0,81,0.9087706939063052
591,617.0,75,0.8665022895385699
592,598.0,72,0.8665022895385699
593,578.0,69,0.8453680873547025
594,560.0,69,0.8453680873547025
595,583.0,69,0.8030996829869672
596,589.0,66,0.8242338851708348
597,612.0,69,0.8030996829869672
598,637.0,75,0.8030996829869672
599,663.0,78,0.7608312786192322
600,690.0,81,0.7608312786192322
601,717.0,81,0.7185628742514971
602,744.0,81,0.6974286720676295
603,771.0,81,0.6762944698837619
604,798.0,81,0.6762944698837619
605,825.0,81,0.6551602676998943
606,852.0,81,0.6762944698837619
607,880.0,84,0.6551602676998944
608,908.0,84,0.6340260655160268
609,936.0,84,0.6340260655160268
610,964.0,84,0.6340260655160268
611,992.0,84,0.6551602676998942
612,1020.0,84,0.6551602676998942
613,1048.0,84,0.6762944698837619
614,1076.0,84,0.6762944698837619
615,1104.0,84,0.6762944698837619
616,1133.0,87,0.6762944698837619
617,1162.0,87,0.6762944698837619
618,1191.0,87,0.6762944698837619
619,1220.0,87,0.6762944698837619
620,1249.0,87,0.6974286720676295
621,1278.0,87,0.7185628742514969
622,1307.0,87,0.7396970764353646
623,1336.0,87,0.7396970764353646
624,1366.0,90,0.7819654808030998
625,1267.0,84,0.7396970764353646
626,1184.0,81,0.7608312786192323
627,1138.0,78,0.7608312786192323
628,1094.0,78,0.7396970764353646
629,1050.0,75,0.7819654808030997
630,1043.0,75,0.8030996829869672
631,1043.0,72,0.7819654808030997
632,1051.0,72,0.7819654808030997
633,1072.0,72,0.760831278619232
634,1096.0,72,0.7819654808030997
635,1120.0,72,0.7819654808030998
636,1145.0,75,0.7819654808030998
637,1172.0,81,0.7819654808030998
638,1200.0,84,0.8030996829869674
639,1228.0,84,0.7608312786192322
640,1258.0,90,0.7608312786192322
641,1288.0,90,0.7396970764353646
642,1318.0,90,0.7608312786192322
643,1348.0,90,0.7396970764353646
644,1380.0,96,0.7396970764353646
645,1412.0,96,0.7608312786192322
646,1445.0,99,0.8030996829869673
647,1478.0,99,0.824233885170835
648,1511.0,99,0.824233885170835
649,1544.0,99,0.824233885170835
650,1577.0,99,0.8453680873547024
651,1610.0,99,0.8665022895385701
652,1644.0,102,0.8665022895385701
653,1678.0,102,0.8665022895385701
654,1712.0,102,0.8665022895385701
655,1747.0,105,0.8665022895385701
656,1782.0,105,0.8665022895385701
657,1818.0,108,0.8876364917224376
658,1652.0,108,0.8453680873547024
659,1492.0,102,0.8453680873547024
660,1340.0,99,0.9299048960901727
661,1192.0,93,0.8876364917224374
662,1054.0,87,0.8876364917224374
663,928.0,87,0.8665022895385699
664,804.0,81,0.86650228953857
665,682.0,75,0.8453680873547025
666,610.0,69,0.8242338851708347
667,575.0,66,0.8030996829869672
668,587.0,66,0.7819654808030998
669,573.0,60,0.7819654808030997
